16:55:18.008693077 : vetrnik/tele/control/contactor 5
16:55:18.009198648 : vetrnik/tele/control/contactor 4
16:55:18.010634639 : vetrnik/cmnd/power_board/duty 255
16:55:18.502266355 : vetrnik/tele/power_board/time 1238
16:55:18.502482354 : vetrnik/tele/stats/energy_Ws 226
16:55:19.001991355 : vetrnik/tele/stats/energy_Ws 230
16:55:19.003321254 : vetrnik/cmnd/control/contactor 1
16:55:19.005079669 : vetrnik/tele/control/contactor 5
16:55:19.005628610 : vetrnik/tele/control/contactor 4
16:55:19.006682678 : vetrnik/cmnd/power_board/duty 255
16:55:19.501675688 : vetrnik/tele/power_board/time 1239
16:55:19.502141334 : vetrnik/tele/stats/energy_Ws 234
16:55:20.002240887 : vetrnik/tele/stats/energy_Ws 238
16:55:20.003476194 : vetrnik/cmnd/control/contactor 1
16:55:20.005462663 : vetrnik/tele/control/contactor 5
16:55:20.005901697 : vetrnik/tele/control/contactor 4
16:55:20.007022931 : vetrnik/cmnd/power_board/duty 255
16:55:20.502209996 : vetrnik/tele/power_board/time 1240
16:55:20.502711030 : vetrnik/tele/stats/energy_Ws 242
16:55:21.001925144 : vetrnik/tele/stats/energy_Ws 246
16:55:21.003202228 : vetrnik/cmnd/control/contactor 1
16:55:21.004998625 : vetrnik/tele/control/contactor 5
16:55:21.005870675 : vetrnik/tele/control/contactor 4
16:55:21.006707577 : vetrnik/cmnd/power_board/duty 255
16:55:21.502719896 : vetrnik/tele/power_board/time 1241
16:55:21.502943783 : vetrnik/tele/stats/energy_Ws 250
16:55:22.002091731 : vetrnik/tele/stats/energy_Ws 254
16:55:22.003367334 : vetrnik/cmnd/control/contactor 1
16:55:22.005180101 : vetrnik/tele/control/contactor 5
16:55:22.005816597 : vetrnik/tele/control/contactor 4
16:55:22.006241390 : vetrnik/cmnd/power_board/duty 255
16:55:22.502019396 : vetrnik/tele/power_board/time 1242
16:55:22.502230654 : vetrnik/tele/stats/energy_Ws 258
16:55:23.002305744 : vetrnik/tele/stats/energy_Ws 262
16:55:23.002410650 : vetrnik/cmnd/control/contactor 1
16:55:23.003955733 : vetrnik/cmnd/power_board/duty 255
16:55:23.004038992 : vetrnik/tele/control/contactor 5
16:55:23.005841296 : vetrnik/tele/control/contactor 4
16:55:23.502603647 : vetrnik/tele/power_board/time 1243
16:55:23.502747276 : vetrnik/tele/stats/energy_Ws 266
16:55:24.002324572 : vetrnik/tele/stats/energy_Ws 270
16:55:24.002437794 : vetrnik/cmnd/control/contactor 1
16:55:24.004337023 : vetrnik/tele/control/contactor 5
16:55:24.004430115 : vetrnik/cmnd/power_board/duty 255
16:55:24.006041308 : vetrnik/tele/control/contactor 4
16:55:24.501797814 : vetrnik/tele/power_board/time 1244
16:55:24.501993294 : vetrnik/tele/stats/energy_Ws 274
16:55:25.002652288 : vetrnik/cmnd/control/contactor 1
16:55:25.002775120 : vetrnik/tele/stats/energy_Ws 278
16:55:25.004676479 : vetrnik/cmnd/power_board/duty 255
16:55:25.004781330 : vetrnik/tele/control/contactor 5
16:55:25.006331987 : vetrnik/tele/control/contactor 4
16:55:25.502580230 : vetrnik/tele/power_board/time 1245
16:55:25.502821395 : vetrnik/tele/stats/energy_Ws 282
16:55:26.001737122 : vetrnik/tele/stats/energy_Ws 286
16:55:26.002040638 : vetrnik/cmnd/control/contactor 1
16:55:26.003909738 : vetrnik/tele/control/contactor 5
